rowid,name,vote_share,elected,seats,position,female,party,religion_new,total_exp_mil
3067,LINDA UTAMI Z B MAHENDRADATTA,0.456002235,0,8,5,1,Gerindra,Muslim,NA
1537,MUHSAN,0.064217098,0,5,3,0,Crescent Star,Muslim,40
4241,"I WAYAN DENDRA, MH",0.835327566,0,10,4,0,People's Conscience,Hindu,260.2434998
6142,"Hj. LAILATUL JUMAH, S.Ag.,M.Hum.",0.763938665,0,7,7,1,NasDem,Muslim,NA
6377,"Drs. DWI PURWANTO, SH., M.Si.",0.093856521,0,9,7,0,NasDem,Muslim,NA
5812,VIKTOR BUNGTILU LAISKODAT,7.034116268,1,7,7,0,NasDem,Christian,NA
1413,"Dr. FAHMY ALAYDROES, S.Psi., MM., MEd.",1.512740254,0,6,1,0,PKS,Muslim,NA
2277,"Hj. LENI HARYATI JOHN LATIEF, SE. M.Si",4.703426361,0,4,2,1,PKB,Muslim,2230.944092
3723,"Drs. H. YULRIZAL BAHARIN, M.Si",0.971459568,0,6,4,0,NasDem,Muslim,NA
6073,SRI HANDAYANI. SE,0.158432528,0,7,7,1,Golkar,Muslim,15.75
1668,"Hj. AGATI SULIE MAHYUDIN, SE",3.995284319,1,6,2,1,Golkar,Muslim,729
4438,"Dra. DEWI UTARI, MM",0.177372754,0,7,6,1,Golkar,Christian,7.099999905
124,SAHAT SILABAN,3.534889936,1,10,2,0,NasDem,Christian,NA
3444,IMEL ALFINA,0.091636099,0,6,6,1,PAN,Muslim,43.75
2443,D.G. SANDY NAYOAN,0.841562867,0,7,1,0,PKB,Christian,126.9089966
1724,BULAN YULIATI SARAGIH,0.277229935,0,10,3,1,People's Conscience,Christian,198.3643951
4367,Hj. SHOLIKHAH HAMDANI,0.023659093,0,8,6,1,Crescent Star,Muslim,38
2457,MASRUL H. IBRAHIM,0.564967752,0,3,1,0,Justice and Unity,Muslim,NA
1965,H. ACHMAD FARIAL,4.420783043,1,9,1,0,PPP,Muslim,1001
2936,Drs. H. AHMAD KURDI MOEKRI,0.822030187,0,10,5,0,PPP,NA,612
3642,RUDY WATAK,0.009117777,0,7,5,0,Justice and Unity,Christian,NA
5376,"Dr. Ir. MUHAMMAD FAUZI SUTOPO, MS",0.556013465,0,9,7,0,PDI-P,Muslim,NA
3977,"INDAH DWI WIDYAWATI, A.Md",0.106296882,0,8,5,1,NasDem,Muslim,NA
6563,ARIROH REZEKI MATANARI,0.072988503,0,10,7,1,PAN,Muslim,NA
2621,"WASIS SURONO, SE",0.465594947,0,8,2,0,People's Conscience,Muslim,346.5
3448,"INDAH PRASETYARI, SH",0.201409727,0,8,5,1,NasDem,Christian,NA
5065,Pdt. SUMURUNG SAMOSIR HARIANJA,0.939181924,0,10,6,0,Gerindra,Christian,NA
161,ANSORY SIREGAR,2.103775024,1,10,1,0,PKS,Muslim,527.9746094
1269,"H. EDI YUSUF, SH, MM",0.753059864,0,8,2,0,People's Conscience,Muslim,NA
3390,"HJ. ENTANG YOHANAH, S.Pd",0.232657909,0,10,6,1,PAN,Muslim,97
222,"Drs. H. ABDILLA FAUZI ACHMAD, MBA. AAIK",0.655100524,0,9,2,0,People's Conscience,NA,NA
1255,MULYADI YUSUF,0.331241727,0,6,3,0,NasDem,Muslim,NA
6361,"Ir HERMANSYAH C.S SUDIRA, SH, M.Si",0.159035459,0,8,7,0,People's Conscience,Muslim,NA
1771,RATU CICIH KURNIASIH,1.653063178,0,6,3,1,Golkar,Muslim,277.5
4263,ZAINUL MUNASICHIN,0.808984756,0,9,5,0,PKB,Muslim,193.5
4145,Hj.SORAYA,0.818001151,0,6,4,1,PAN,Muslim,456.7500305
4231,"P.S. JEMMY MOKOLENSANG, SH",0.962066174,0,6,4,0,PDI-P,Christian,387.0289917
