"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"267",1,2,1,2,1,4,3,1,1964,53,4,7,12,40,1,2
"268",1,1,1,1,1,2,3,2,1976,41,1,3,6,40,1,1
"269",2,2,2,2,3,2,2,1,1977,40,2,4,9,40,4,2
"270",1,1,1,1,2,2,3,2,1980,37,2,6,10,40,4,2
"271",1,2,2,2,2,2,2,1,1974,43,2,10,19,40,1,2
"272",1,2,2,2,2,1,3,2,1993,24,2,6,12,40,3,3
"273",1,2,2,1,1,2,3,1,1966,51,2,4,6,40,2,2
"274",1,2,2,2,2,2,2,2,1990,27,2,7,12,40,2,2
"275",1,1,1,1,2,2,2,1,1962,55,2,2,3,40,7,2
"276",1,2,1,2,2,2,2,2,1987,30,2,7,12,40,7,2
"277",1,2,2,2,2,4,3,1,1979,38,1,5,9,40,4,2
"278",1,2,2,2,1,2,8,2,1976,41,2,5,9,40,1,2
"279",1,2,1,1,3,4,2,1,1980,37,2,7,13,40,5,1
"280",1,2,2,2,4,4,2,2,1939,78,2,3,6,40,1,2
"281",1,2,2,2,2,2,2,1,1952,65,2,2,2,40,2,2
"282",1,2,1,2,8,2,7,2,1964,53,2,2,1,40,1,1
"283",1,1,1,2,3,1,3,1,1975,42,2,3,6,40,1,2
"284",1,2,2,2,2,2,3,2,1987,30,2,9,16,40,1,2
"285",1,2,1,2,2,1,2,1,1997,20,1,6,9,40,1,1
"286",2,2,2,2,2,1,2,2,1973,44,2,2,6,40,1,2
"287",1,2,2,2,4,1,2,1,1968,49,2,3,6,40,1,1
"288",1,2,2,2,2,2,2,2,1977,40,2,3,6,40,1,1
"289",1,1,2,2,4,1,3,1,1976,41,2,3,6,40,5,2
"290",1,1,2,2,2,2,3,2,1981,36,2,5,9,40,1,2
"291",1,2,2,2,3,3,2,1,1960,57,2,3,6,40,1,1
"292",1,2,1,2,2,2,2,2,1964,53,2,5,9,40,1,2
"293",1,2,2,2,3,2,3,1,1996,21,1,7,12,40,4,3
"294",1,2,2,2,3,2,3,2,1982,35,2,6,12,40,1,1
"295",1,1,2,2,2,2,2,1,1972,45,2,9,16,40,1,1
