"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"553",1,2,2,2,2,2,3,1,1947,70,2,7,12,40,1,2
"554",1,2,2,2,3,2,3,2,1970,47,2,9,15,40,1,2
"555",1,2,2,2,3,2,3,1,1960,57,2,7,12,40,1,2
"556",1,2,2,2,3,3,3,2,1960,57,2,7,12,40,1,2
"557",1,2,2,2,3,3,3,1,1966,51,1,8,13,40,1,2
"558",1,2,2,2,3,2,2,2,1965,52,2,5,9,40,1,2
"559",1,2,2,2,3,3,3,1,1961,56,2,8,12,40,1,2
"560",1,2,2,2,3,2,3,2,1969,48,2,7,12,40,1,2
"561",1,2,2,2,2,2,3,1,1960,57,2,3,6,40,1,2
"562",1,2,2,2,8,3,2,2,1991,26,2,3,6,40,1,2
"563",1,2,2,2,3,2,2,1,1974,43,2,3,6,40,1,2
"564",1,2,2,2,4,2,2,2,1990,27,2,3,6,40,1,3
"565",1,2,2,2,3,2,2,1,1970,47,2,2,2,40,1,2
"566",1,1,2,2,2,3,2,2,1984,33,2,3,6,40,1,2
"567",1,2,2,2,3,1,3,1,1991,26,1,5,9,40,1,3
"568",2,2,2,2,3,2,2,2,1976,41,2,3,6,40,1,2
"569",1,2,1,1,2,1,2,1,1989,28,2,7,12,40,2,2
"570",1,2,1,2,2,2,2,2,1978,39,2,2,1,40,1,1
"571",1,2,2,2,3,2,2,1,1950,67,2,1,-1,40,1,2
"572",1,2,2,2,3,7,7,2,1944,73,4,1,-1,40,1,2
"573",1,2,2,0,3,2,3,1,1981,36,2,3,6,40,1,2
"574",1,2,2,2,8,2,3,2,1962,55,4,2,1,40,1,1
"575",1,2,2,2,3,2,2,1,1960,57,2,2,6,40,1,1
"576",1,2,2,2,3,2,3,2,1967,50,2,9,16,40,1,2
"577",1,2,2,2,2,2,3,1,1981,36,2,3,9,40,1,2
"578",1,2,2,2,4,2,3,2,1970,47,2,4,9,40,1,2
"579",1,2,1,2,3,2,3,1,1977,40,2,7,12,40,1,1
"580",1,2,1,1,3,2,3,2,1962,55,2,5,9,40,1,1
"581",1,1,1,1,2,2,3,1,1980,37,2,7,12,40,1,2
"582",1,2,2,2,3,1,4,2,1973,44,2,3,6,40,1,2
"583",1,2,2,1,3,2,3,1,1990,27,1,9,18,40,1,2
"584",1,2,2,2,4,2,3,2,1961,56,4,7,12,40,1,2
"585",1,2,2,2,3,3,2,1,1977,40,2,7,12,40,1,3
"586",1,2,2,2,4,3,9,2,1958,59,2,7,12,40,1,1
"587",1,2,1,2,3,2,3,1,1957,60,2,10,18,40,1,1
"588",1,2,2,2,2,3,4,2,1974,43,2,7,12,40,1,2
"589",1,2,2,2,3,2,3,1,1966,51,2,9,15,40,1,2
"590",1,2,2,2,3,2,2,2,1953,64,2,5,9,40,1,1
"591",2,2,2,2,2,2,3,1,1991,26,1,8,12,40,1,2
"592",1,2,2,2,2,3,3,2,1966,51,2,9,15,40,1,1
"593",1,2,2,2,3,2,2,1,1983,34,2,7,12,40,1,2
"594",1,2,2,2,4,1,1,2,1965,52,2,5,9,40,1,2
"595",1,2,2,2,2,1,3,1,1966,51,2,7,12,40,1,1
"596",1,2,2,2,3,2,1,2,1973,44,2,6,9,40,1,2
"597",1,2,2,2,2,1,3,1,1980,37,2,10,17,40,1,1
"598",1,2,2,2,2,2,3,2,1977,40,2,6,11,40,3,3
"599",1,2,2,2,3,1,2,1,1980,37,2,3,6,40,1,1
"600",1,1,2,2,3,1,2,2,1970,47,2,2,2,40,2,2
"601",1,2,2,2,3,8,2,1,1991,26,1,9,16,40,1,2
"602",1,1,2,2,3,2,2,2,1962,55,2,8,13,99,1,2
"603",1,2,2,2,4,2,2,1,1965,52,2,6,12,40,1,2
"604",1,2,2,2,2,2,3,2,1965,52,2,5,9,40,1,2
"605",1,2,2,2,3,2,2,1,1976,41,2,7,9,40,1,2
"606",2,2,2,2,3,2,2,2,-1,-1,2,5,9,40,1,2
"607",1,2,2,2,4,2,2,1,-1,-1,2,3,6,40,1,2
"608",1,2,2,2,2,2,3,2,1980,37,2,5,-1,40,1,2
"609",1,2,2,2,1,2,2,1,1940,77,2,8,13,40,1,1
"610",1,2,2,2,3,2,3,2,1984,33,2,7,12,40,1,2
"611",1,8,1,2,2,2,3,1,1989,28,2,7,12,40,1,3
"612",1,2,2,2,2,2,2,2,1962,55,2,3,6,40,1,2
"613",1,8,1,2,2,1,2,1,1982,35,2,7,12,40,1,2
"614",1,8,2,2,2,1,3,2,1992,25,2,7,12,40,1,2
"615",2,2,2,2,3,1,2,1,1997,20,1,7,12,40,1,1
"616",1,8,2,2,3,1,3,2,1983,34,2,7,12,40,1,2
"617",1,1,1,2,2,2,3,1,1958,59,2,9,15,40,1,1
"618",1,2,2,2,3,2,2,2,1972,45,2,7,12,40,1,1
"619",1,2,2,2,4,1,3,1,1987,30,2,7,12,40,1,1
"620",1,8,2,2,2,2,2,2,1980,37,2,3,6,40,1,2
"621",1,8,1,2,3,2,3,1,1987,30,2,7,12,40,1,2
"622",1,2,2,2,4,2,2,2,1978,39,2,2,5,40,1,2
"623",1,1,1,1,2,2,3,1,1940,77,2,2,3,40,2,2
"624",1,2,2,1,3,2,2,2,1983,34,2,7,12,40,1,2
"625",1,2,2,2,3,2,2,1,1967,50,2,2,3,40,1,2
"626",1,2,2,2,4,2,2,2,1962,55,2,2,1,40,1,1
"627",1,2,2,2,2,2,2,1,1978,39,2,3,6,40,1,1
"628",1,2,2,2,2,2,2,2,1983,34,2,3,6,40,1,2
"629",1,2,1,1,3,2,2,1,1972,45,2,3,6,40,2,2
"630",1,2,2,2,4,2,2,2,1969,48,2,2,3,40,1,2
"631",1,2,2,2,3,2,2,1,1969,48,5,3,6,40,1,3
"632",1,2,2,2,2,3,2,2,1979,38,2,3,6,40,1,3
"633",1,2,2,2,3,3,2,1,1974,43,2,5,9,40,1,1
"634",1,2,2,2,3,3,3,2,1994,23,2,5,9,40,1,2
"635",1,2,2,2,3,2,2,1,1992,25,2,3,6,40,1,1
"636",1,2,2,2,2,1,1,2,1996,21,1,7,12,40,1,3
"637",1,2,1,2,4,2,2,1,1959,58,2,2,4,40,1,2
"638",1,2,2,2,8,4,8,2,1977,40,2,3,6,40,1,2
"639",1,2,1,2,3,2,2,1,1972,45,2,5,9,40,1,3
"640",1,2,2,2,2,3,2,2,1965,52,2,1,-1,40,1,2
"641",1,2,2,2,3,1,2,1,1969,48,2,2,5,40,1,2
"642",1,2,2,2,3,1,2,2,1970,47,2,3,6,40,1,1
"643",1,1,1,1,2,1,2,1,1969,48,2,5,9,40,1,1
"644",1,2,2,2,3,1,2,2,1990,27,2,5,9,40,2,2
"645",1,2,1,2,4,1,2,1,1985,32,2,6,12,40,1,1
"646",1,1,2,2,3,1,3,2,1965,52,2,7,12,40,1,1
"647",1,2,2,2,2,1,3,1,1971,46,2,8,15,40,1,1
"648",2,2,2,2,3,1,2,2,1977,40,2,6,12,40,1,1
"649",1,2,2,2,3,1,3,1,1961,56,2,9,15,40,1,1
"650",1,2,2,2,3,1,3,2,1982,35,2,6,12,40,1,2
"651",1,2,2,2,3,2,2,1,1995,22,1,7,12,40,1,3
"652",1,2,2,2,4,2,3,2,1963,54,4,2,3,40,1,3
"653",2,2,2,2,3,2,3,1,1983,34,2,9,16,40,1,3
"654",1,2,2,2,3,2,2,2,1955,62,2,2,3,40,1,2
"655",1,1,1,1,2,1,2,1,1983,34,2,7,12,40,1,1
"656",1,2,2,2,3,2,3,2,1986,31,2,5,9,40,1,2
"657",1,2,2,2,3,1,3,1,1980,37,2,7,12,40,1,3
"658",2,2,2,2,2,2,3,2,1985,32,2,5,9,40,1,2
"659",2,2,2,2,3,2,3,1,1972,45,2,5,9,40,1,3
"660",1,2,2,2,3,2,3,2,1988,29,2,9,14,40,1,2
"661",1,2,2,2,4,2,3,1,1954,63,2,3,6,40,1,2
"662",1,2,2,2,3,2,4,2,1990,27,1,5,9,40,1,2
"663",1,1,2,2,2,2,3,1,1976,41,2,2,5,40,1,1
"664",1,2,2,2,4,1,3,2,1988,29,2,5,9,40,1,2
"665",1,2,2,2,4,2,2,1,1984,33,1,7,12,40,1,2
"666",2,2,2,2,3,2,3,2,1994,23,2,3,6,40,1,2
"667",1,2,2,2,4,2,3,1,1963,54,2,7,12,40,1,2
"668",2,2,2,2,2,1,3,2,1997,20,1,6,12,40,1,2
"669",1,2,2,2,2,1,3,1,1982,35,1,3,6,40,1,1
"670",1,2,2,2,4,3,2,2,1968,49,2,3,6,40,1,2
"671",2,2,2,2,2,1,3,1,1993,24,1,7,12,40,1,2
"672",1,2,2,2,2,1,2,2,1972,45,2,3,6,40,1,1
"673",1,2,2,2,3,1,2,1,1984,33,2,2,6,40,1,1
"674",1,2,2,2,3,3,2,2,1993,24,2,7,12,40,1,3
"675",1,2,2,2,3,1,2,1,1979,38,2,3,6,40,1,3
"676",1,2,2,2,2,1,3,2,1988,29,2,7,12,40,1,2
"677",1,2,2,2,3,1,2,1,1994,23,1,2,6,40,1,2
"678",1,2,1,2,2,1,2,2,1973,44,2,3,6,40,1,2
"679",1,2,2,2,2,1,2,1,1971,46,2,5,9,40,1,2
"680",1,2,2,2,4,1,3,2,1982,35,2,4,9,40,1,2
"681",1,2,2,2,3,1,3,1,1992,25,1,7,12,40,1,2
"682",1,2,2,2,3,2,3,2,1973,44,2,7,12,40,1,2
"683",1,2,2,2,4,2,3,1,1972,45,2,2,2,40,3,3
"684",1,2,2,2,4,2,3,2,1981,36,2,3,6,40,1,2
"685",1,2,2,2,2,1,3,1,1963,54,2,7,12,40,1,2
"686",1,2,2,2,2,1,3,2,1996,21,1,8,14,40,1,2
"687",2,2,2,2,2,1,2,1,1980,37,2,9,16,20,4,2
"688",1,2,9,2,2,2,4,2,1970,47,2,9,16,40,1,2
"689",1,2,2,2,4,1,3,1,1958,59,2,2,2,40,1,2
"690",1,2,2,2,3,2,3,2,1962,55,2,3,6,40,1,2
"691",1,2,2,2,3,8,2,1,1966,51,2,1,-1,40,1,9
"692",2,2,2,2,3,8,2,2,1989,28,2,5,9,40,1,3
"693",1,2,2,2,3,8,3,1,1978,39,2,5,9,40,1,3
"694",1,2,2,2,4,8,7,2,1962,55,2,3,6,40,1,1
"695",1,8,8,8,4,2,3,1,1948,69,2,2,2,40,1,2
"696",1,2,2,2,3,8,3,2,1985,32,2,3,9,40,1,2
"697",2,2,2,2,3,8,2,1,1981,36,2,3,6,40,1,2
"698",1,2,2,2,3,2,3,2,1986,31,2,3,6,40,1,2
"699",1,2,2,2,3,2,2,1,1967,50,2,3,6,40,1,2
"700",1,2,2,2,4,2,7,2,1958,59,2,1,-1,40,1,2
"701",1,1,1,1,3,2,2,1,1964,53,2,2,6,40,1,1
"702",1,2,2,2,3,2,3,2,1979,38,2,4,6,40,1,2
"703",1,2,2,2,3,8,2,1,1970,47,2,6,11,40,1,2
"704",1,2,2,2,3,2,2,2,1994,23,2,5,9,40,1,2
"705",1,2,2,2,3,2,3,1,1997,20,1,7,12,40,1,1
"706",1,2,2,2,4,2,2,2,1994,23,1,7,15,40,1,1
"707",1,8,8,2,8,7,8,1,1947,70,2,2,1,40,1,2
"708",1,1,2,2,3,7,2,2,1955,62,2,3,6,40,1,1
"709",1,2,2,8,3,2,3,1,1950,67,2,7,12,40,1,2
"710",1,2,2,2,2,2,2,2,1967,50,2,3,6,40,1,2
"711",1,2,2,2,3,2,2,1,1975,42,2,3,6,40,1,1
"712",1,2,2,2,4,2,2,2,1992,25,2,4,9,40,1,1
"713",1,2,2,2,8,2,8,1,1951,66,2,3,6,40,1,1
"714",1,2,2,2,8,8,8,2,1984,33,2,3,6,40,1,2
"715",1,2,1,1,2,2,2,1,1944,73,2,3,6,40,1,1
"716",1,2,2,2,4,8,2,2,1993,24,2,3,6,40,1,1
"717",1,2,2,2,3,2,3,1,1981,36,2,4,9,40,2,2
"718",1,2,2,2,8,7,8,2,1951,66,2,2,3,40,1,1
"719",1,2,2,2,2,2,3,1,1972,45,2,3,6,40,1,1
"720",1,2,2,2,4,2,2,2,1982,35,2,3,6,40,1,1
"721",1,1,1,2,1,2,4,1,1977,40,2,3,6,40,1,2
"722",1,2,2,2,4,2,8,2,1955,62,2,3,6,40,1,1
"723",1,2,2,2,3,3,4,1,1973,44,2,3,6,40,1,2
"724",2,2,2,2,8,2,4,2,1997,20,1,7,9,40,1,1
"725",1,2,2,2,3,2,4,1,1982,35,2,3,6,40,1,2
"726",1,2,1,1,3,3,4,2,1983,34,2,3,6,40,1,1
"727",1,1,1,2,3,1,4,1,1961,56,2,5,9,40,1,2
"728",1,2,2,2,3,1,4,2,1957,60,2,3,6,40,1,1
"729",2,2,8,2,3,2,4,1,1989,28,1,5,9,40,1,1
"730",1,2,2,2,3,1,4,2,1997,20,2,5,9,40,1,1
"731",1,2,2,2,4,1,8,1,1954,63,2,2,4,40,1,2
"732",1,2,2,2,3,2,3,2,1980,37,2,3,6,40,1,2
"733",1,2,2,2,2,2,3,1,1965,52,2,3,6,40,1,2
"734",1,2,2,2,4,2,3,2,1962,55,2,3,6,40,1,2
"735",1,2,2,2,2,2,2,1,1968,49,2,7,12,40,1,2
"736",1,2,2,1,3,2,8,2,1964,53,2,3,6,40,1,1
"737",1,2,2,2,4,2,8,1,1966,51,2,3,6,40,1,2
"738",1,2,2,2,8,2,3,2,1981,36,2,3,6,40,1,2
"739",2,2,2,2,2,2,8,1,1963,54,2,3,6,40,1,2
"740",1,2,2,2,4,2,8,2,1982,35,2,3,6,40,1,2
"741",1,1,2,2,3,2,3,1,1954,63,4,3,6,40,1,2
"742",1,2,1,1,2,3,3,2,1955,62,4,3,6,40,1,2
"743",1,2,2,2,3,1,2,1,1990,27,2,5,9,40,1,3
"744",1,2,2,2,4,2,2,2,1962,55,2,2,1,40,1,2
"745",1,2,1,2,3,2,2,1,1960,57,2,3,6,40,1,2
"746",1,2,2,2,2,3,3,2,1993,24,2,7,12,40,1,2
"747",2,2,1,1,4,2,3,1,1982,35,2,5,9,40,1,1
"748",1,2,2,2,2,2,3,2,1978,39,2,3,6,40,1,2
"749",1,2,1,1,2,2,3,1,1970,47,2,6,12,40,1,2
"750",1,2,1,2,3,2,3,2,1975,42,2,5,9,40,1,2
"751",1,2,2,2,4,2,2,1,1953,64,2,3,6,40,1,2
"752",1,2,2,2,3,2,2,2,1978,39,2,5,9,40,1,1
"753",1,2,2,2,3,2,2,1,1973,44,2,5,13,40,1,3
"754",1,2,2,2,4,1,3,2,1973,44,2,5,12,60,6,2
"755",1,2,2,2,3,2,3,1,1994,23,1,7,12,40,1,2
"756",1,2,2,2,2,2,2,2,1995,22,2,5,9,40,1,1
"757",1,2,2,2,3,2,2,1,1983,34,2,6,13,40,2,3
"758",1,2,2,2,3,1,2,2,1961,56,2,7,12,40,1,1
"759",1,2,2,2,3,2,2,1,1953,64,2,2,2,40,2,3
"760",1,2,2,2,3,2,2,2,1974,43,2,7,12,40,1,2
"761",1,2,2,2,3,1,3,1,1981,36,2,7,12,40,1,1
"762",1,2,2,2,4,1,2,2,1963,54,2,3,6,40,1,1
"763",1,1,1,1,1,1,1,1,1972,45,2,7,12,40,1,1
"764",1,2,2,2,2,2,2,2,1987,30,2,7,12,40,1,1
"765",1,2,2,2,4,1,3,1,1967,50,5,7,12,40,1,2
"766",1,2,2,2,3,1,3,2,1972,45,2,5,6,40,1,1
"767",2,2,2,2,2,2,3,1,1958,59,2,9,15,40,99,2
"768",1,2,2,2,4,1,1,2,1991,26,2,3,6,40,1,1
"769",1,2,2,2,2,2,3,1,1966,51,2,3,6,40,1,2
"770",1,2,2,2,4,1,2,2,1982,35,2,2,5,40,1,2
"771",2,2,2,2,2,2,3,1,1964,53,2,5,9,40,1,1
"772",1,2,2,2,3,2,2,2,1976,41,2,3,6,40,1,1
"773",1,2,2,2,4,2,8,1,1940,77,4,1,-1,40,1,1
"774",1,2,2,2,8,2,8,2,1946,71,4,2,3,40,1,1
"775",1,2,2,2,2,2,3,1,1977,40,2,5,9,40,1,1
"776",1,2,2,2,3,3,3,2,1982,35,2,7,12,40,1,1
"777",1,2,2,2,3,3,2,1,1944,73,1,4,8,40,1,1
"778",1,2,2,2,2,2,3,2,1978,39,2,9,16,40,1,1
"779",1,2,2,2,2,4,3,1,1979,38,2,7,12,40,1,1
"780",1,2,2,2,4,3,2,2,1985,32,2,5,9,40,1,1
"781",1,2,2,2,3,1,1,1,1989,28,2,8,15,40,1,2
"782",1,2,2,2,4,2,2,2,1966,51,2,3,6,40,1,1
"783",1,2,1,1,2,1,3,1,1992,25,2,7,12,40,1,1
"784",1,2,2,2,4,1,2,2,1987,30,2,3,6,40,1,3
"785",1,2,2,2,4,3,3,1,1951,66,2,3,6,40,1,2
"786",1,2,2,2,4,2,3,2,1964,53,2,2,2,40,1,2
"787",1,2,2,2,3,3,3,1,1996,21,1,5,9,40,1,2
"788",1,2,2,2,4,3,3,2,1997,20,1,7,12,40,1,2
"789",1,2,1,1,3,2,3,1,1955,62,2,3,6,40,1,2
"790",1,2,2,2,3,2,3,2,1966,51,2,2,4,40,1,2
"791",1,2,2,2,3,2,2,1,-1,-1,2,1,-1,40,1,2
"792",1,2,2,2,9,2,3,2,1959,58,2,2,3,40,1,2
"793",1,2,2,1,2,1,3,1,1975,42,2,7,12,40,1,1
"794",1,2,2,2,1,1,2,2,1957,60,2,3,6,40,1,2
"795",1,2,2,2,3,1,3,1,1980,37,2,5,9,40,1,2
"796",1,2,2,2,8,2,3,2,1969,48,2,1,-1,40,1,2
"797",1,2,2,2,2,2,4,1,1973,44,2,3,6,40,1,2
"798",1,2,2,2,3,2,3,2,1987,30,2,7,12,40,1,2
"799",1,2,2,2,2,1,3,1,1992,25,2,5,9,40,7,1
"800",1,1,2,2,3,1,2,2,1984,33,2,3,6,40,1,2
"801",1,2,2,2,2,2,2,1,1950,67,2,3,6,40,1,2
"802",2,2,2,2,2,2,3,2,1998,19,1,5,11,40,1,2
"803",1,2,2,2,2,2,3,1,1991,26,1,7,12,40,1,2
"804",1,2,2,2,4,2,2,2,1972,45,2,2,4,40,1,2
"805",1,2,2,2,3,2,2,1,1949,68,2,4,8,40,1,2
"806",1,2,2,2,4,2,2,2,1956,61,4,5,9,40,1,1
"807",1,2,2,2,3,2,2,1,1965,52,9,3,6,40,1,2
"808",2,2,2,2,2,2,3,2,1997,20,1,5,9,40,1,2
"809",1,2,2,2,4,2,3,1,1956,61,9,2,4,40,1,2
"810",1,2,2,2,4,2,8,2,1942,75,2,1,-1,40,1,2
"811",2,2,2,2,3,2,3,1,1998,19,1,6,12,40,2,2
"812",1,2,2,2,4,7,2,2,1950,67,4,1,-1,40,1,2
"813",1,2,2,2,2,2,3,1,1977,40,2,9,17,40,1,2
"814",1,2,2,2,3,2,3,2,1968,49,2,7,12,40,1,1
"815",1,2,2,2,3,2,3,1,1963,54,2,7,12,40,1,1
"816",1,2,2,2,4,2,3,2,1985,32,2,7,12,40,1,1
"817",1,2,2,2,3,2,2,1,1990,27,2,9,17,40,1,1
"818",1,2,2,1,2,3,3,2,1951,66,2,7,12,40,1,1
"819",1,2,2,2,3,2,2,1,1968,49,2,7,12,40,1,2
"820",1,2,2,2,2,2,3,2,1952,65,2,7,12,20,2,1
"821",1,2,1,1,2,1,3,1,1965,52,2,5,9,40,1,2
"822",1,2,2,2,8,2,2,2,1951,66,4,2,6,40,1,2
"823",1,2,2,2,2,1,2,1,1995,22,1,7,12,40,1,1
"824",1,2,2,8,8,2,2,2,1958,59,4,1,-1,40,1,2
"825",1,2,2,2,2,1,3,1,1974,43,2,5,9,40,1,2
"826",1,2,2,2,8,3,3,2,1961,56,1,1,-1,40,1,2
"827",1,2,2,2,2,2,8,1,1963,54,2,1,-1,40,1,2
"828",1,2,2,2,2,1,2,2,1983,34,2,5,9,40,1,2
"829",1,1,1,1,3,1,3,1,1996,21,2,7,12,40,1,2
"830",1,2,2,2,2,2,3,2,1966,51,2,5,9,40,1,2
"831",1,2,2,2,4,2,2,1,1950,67,2,2,1,40,1,2
"832",1,1,1,2,2,2,4,2,1991,26,2,3,6,40,1,2
"833",1,2,2,2,4,1,3,1,1987,30,2,7,12,40,1,2
"834",1,2,2,2,4,1,3,2,1988,29,2,5,9,40,1,2
"835",1,2,2,2,2,1,2,1,1980,37,2,3,6,40,1,2
"836",1,2,2,2,4,2,3,2,1990,27,2,3,6,40,1,2
"837",1,2,2,2,4,2,2,1,1972,45,2,3,6,40,1,2
"838",1,2,2,2,4,2,3,2,1987,30,2,3,6,40,1,2
"839",1,2,2,2,2,2,2,1,1971,46,2,5,9,40,1,2
"840",1,2,2,2,4,2,3,2,1984,33,4,5,9,40,1,2
"841",1,2,2,2,2,2,2,1,1975,42,2,5,10,40,1,1
"842",1,2,2,2,3,2,2,2,1982,35,2,5,10,40,1,1
"843",1,2,2,2,3,2,2,1,1972,45,2,5,9,40,1,1
"844",1,1,2,2,4,2,2,2,1972,45,2,3,6,40,1,1
"845",1,2,2,2,2,1,2,1,1965,52,2,3,6,40,1,1
"846",1,2,2,2,3,2,2,2,1985,32,2,7,12,40,1,1
"847",1,2,2,2,2,1,2,1,1969,48,2,9,18,40,1,2
"848",2,2,2,2,3,1,3,2,1989,28,1,9,17,40,1,1
"849",1,2,2,2,3,2,3,1,1990,27,1,9,17,40,1,3
"850",1,2,2,2,4,2,2,2,1974,43,2,7,12,40,1,1
"851",1,2,1,2,3,1,2,1,1964,53,2,7,12,40,1,2
"852",1,2,2,2,3,2,2,2,1995,22,1,8,13,40,1,2
"853",1,2,1,1,2,8,3,1,1965,52,2,7,12,40,1,2
"854",1,2,2,1,2,2,3,2,1945,72,2,7,12,40,1,2
"855",1,2,1,1,3,2,3,1,1970,47,2,9,16,40,1,2
"856",1,1,2,2,2,1,3,2,1971,46,2,3,6,40,1,2
"857",1,2,2,2,3,1,3,1,1945,72,4,3,6,40,1,2
"858",1,2,2,2,3,2,3,2,1987,30,2,5,9,40,2,3
"859",1,2,2,2,2,2,3,1,1945,72,2,3,6,40,1,2
"860",1,2,2,2,2,1,3,2,1952,65,2,7,12,40,1,2
"861",1,2,2,2,2,3,2,1,1960,57,2,2,3,40,1,2
"862",1,2,2,2,2,3,3,2,1988,29,2,7,12,40,1,2
"863",1,1,1,1,2,2,2,1,1971,46,2,3,6,40,1,2
"864",1,2,2,2,3,2,3,2,1970,47,2,7,12,40,1,2
"865",1,2,2,2,4,2,3,1,1983,34,2,5,11,40,3,3
"866",2,2,2,2,2,2,3,2,1998,19,1,5,9,40,3,3
"867",1,2,2,1,3,2,3,1,1976,41,5,6,10,40,4,3
"868",1,2,2,2,2,2,3,2,1973,44,2,7,13,40,1,2
"869",1,1,2,2,2,2,3,1,1969,48,2,6,11,40,1,2
"870",1,2,2,2,2,7,2,2,1955,62,4,1,-1,40,1,2
"871",1,2,2,2,2,1,2,1,1996,21,1,6,9,40,1,2
"872",1,2,1,1,3,2,2,2,1973,44,2,3,6,40,1,1
"873",1,2,2,2,2,2,3,1,1964,53,2,5,9,40,1,2
"874",1,2,2,2,3,2,2,2,1980,37,2,5,9,40,1,2
"875",1,1,1,1,3,2,3,1,1964,53,2,5,9,40,1,2
"876",1,2,2,2,3,2,2,2,1992,25,2,5,9,40,1,2
"877",1,2,2,2,4,2,2,1,1942,75,4,2,5,40,6,2
"878",1,2,1,2,3,2,2,2,1959,58,2,2,3,40,1,2
"879",1,2,1,1,1,1,2,1,1981,36,2,7,12,40,1,1
"880",2,2,2,2,4,2,2,2,1979,38,2,3,6,40,3,2
"881",1,2,2,2,2,2,4,1,1954,63,2,5,9,40,1,1
"882",1,2,2,2,2,2,3,2,1971,46,2,9,14,40,1,1
"883",1,2,2,2,2,2,3,1,1960,57,2,3,6,40,1,2
"884",1,2,2,2,3,2,3,2,1968,49,2,3,6,40,1,2
"885",1,2,1,2,2,2,3,1,1963,54,5,5,9,40,1,2
"886",1,2,2,2,1,2,3,2,1980,37,2,9,14,40,1,1
"887",1,2,2,2,2,2,3,1,1959,58,5,3,6,40,1,2
"888",1,2,2,2,2,2,3,2,1985,32,2,7,12,40,1,2
"889",1,2,2,2,2,1,8,1,1951,66,2,2,5,40,1,2
"890",1,2,2,2,2,2,3,2,1986,31,2,3,6,40,1,1
"891",1,2,2,2,4,8,3,1,1966,51,2,2,1,40,1,2
"892",1,2,2,2,4,3,3,2,1988,29,2,5,9,40,1,2
"893",1,1,2,2,4,3,3,1,1942,75,2,2,5,40,1,2
"894",1,1,2,2,8,3,3,2,1940,77,4,1,-1,40,1,2
"895",1,1,2,2,3,3,3,1,1954,63,2,2,2,40,1,2
"896",1,1,2,2,4,3,2,2,1960,57,2,2,5,40,1,2
"897",1,2,2,2,4,2,3,1,1969,48,2,3,6,40,1,2
"898",2,2,2,2,3,4,3,2,1994,23,1,7,12,40,1,2
"899",1,2,2,2,4,3,3,1,1948,69,2,2,5,40,1,2
"900",1,1,2,2,4,3,2,2,1977,40,2,5,9,40,1,2
"901",1,2,2,2,2,1,3,1,1958,59,2,9,15,40,1,1
"902",1,1,1,1,4,1,3,2,1988,29,2,7,12,40,1,3
"903",1,1,1,1,3,2,3,1,1985,32,2,7,12,40,1,2
"904",1,1,2,1,4,8,2,2,1963,54,2,2,5,40,1,1
"905",1,1,1,1,3,2,4,1,1994,23,1,7,12,40,1,2
"906",1,1,1,1,3,2,3,2,1966,51,2,2,3,40,1,2
"907",1,2,2,2,2,1,3,1,1975,42,2,4,7,40,2,2
"908",1,2,2,2,4,2,3,2,1990,27,2,6,11,40,1,2
"909",1,2,2,2,2,1,3,1,1986,31,2,4,9,40,1,2
"910",1,2,2,2,2,1,3,2,1992,25,2,7,12,40,7,2
"911",2,1,2,2,4,2,2,1,1959,58,2,2,1,40,6,3
"912",1,2,2,2,2,2,3,2,1977,40,2,3,6,40,1,3
"913",1,2,2,2,2,3,2,1,1958,59,2,9,15,40,1,1
"914",1,2,2,2,3,1,4,2,1980,37,2,5,9,40,1,1
"915",1,2,2,2,2,2,3,1,1977,40,2,3,6,40,1,1
"916",2,0,0,0,4,2,3,2,1998,19,2,4,8,40,1,1
"917",1,2,2,2,2,2,3,1,1970,47,2,9,17,40,1,1
"918",1,8,2,2,4,2,2,2,1969,48,2,3,6,40,1,1
"919",1,1,2,2,3,2,3,1,1965,52,2,2,5,40,1,2
"920",1,2,2,2,3,2,3,2,1985,32,2,7,12,40,1,2
"921",1,2,2,2,2,1,2,1,1978,39,2,5,9,40,3,3
"922",1,2,2,2,4,2,2,2,1971,46,2,3,6,40,3,3
"923",1,2,2,2,3,2,2,1,1969,48,2,3,6,40,1,3
"924",1,2,2,2,4,2,3,2,1964,53,2,3,6,40,2,2
"925",1,2,2,2,2,3,3,1,1975,42,2,7,12,40,1,2
"926",2,2,2,2,3,4,3,2,1994,23,2,7,12,40,1,2
"927",1,2,2,2,4,2,2,1,1970,47,2,2,2,40,3,3
"928",1,2,2,2,2,1,3,2,1971,46,2,3,6,40,2,2
"929",1,2,2,2,2,3,3,1,1964,53,2,3,6,40,1,1
"930",1,2,2,2,3,3,2,2,1988,29,2,3,6,40,3,2
"931",1,2,2,2,1,1,2,1,1975,42,2,3,6,40,1,1
"932",9,9,9,9,9,9,9,2,-1,-1,9,99,-1,99,99,9
"933",1,2,2,2,3,2,2,1,1966,51,2,5,9,40,1,1
"934",1,2,2,2,4,2,3,2,1978,39,2,3,6,40,1,2
"935",1,2,2,2,2,2,8,1,-1,-1,2,2,2,40,1,1
"936",1,1,2,2,3,1,2,2,1972,45,2,3,6,40,1,2
"937",1,1,2,1,2,2,3,1,1959,58,2,2,2,40,1,1
"938",1,1,2,2,4,2,2,2,1974,43,2,2,3,40,1,1
